106,5.0,14.0,-59.0,44.0,29.0,4.0,10.0,7.0
107,-9.0,-38.0,-16.0,-16.0,-10.0,-14.0,-6.0,-5.0
108,-5.0,-49.0,-11.0,7.0,-15.0,-44.0,1.0,-1.0
109,-6.0,-18.0,10.0,-29.0,-16.0,7.0,-4.0,-5.0
110,-33.0,-102.0,-73.0,-18.0,-6.0,3.0,-10.0,-16.0
111,-20.0,2.0,-6.0,-91.0,-25.0,-4.0,3.0,-15.0
112,-25.0,-80.0,-18.0,-37.0,-15.0,-9.0,-17.0,-11.0
113,11.0,14.0,54.0,21.0,-2.0,-8.0,3.0,6.0
114,11.0,17.0,33.0,-18.0,14.0,3.0,2.0,6.0
115,10.0,48.0,-22.0,54.0,22.0,38.0,11.0,3.0
116,-3.0,56.0,126.0,-51.0,-32.0,-9.0,-7.0,-7.0
117,7.0,-3.0,-19.0,31.0,14.0,-12.0,-7.0,3.0
118,19.0,40.0,-33.0,17.0,9.0,6.0,7.0,9.0
119,-13.0,-40.0,-21.0,-21.0,-7.0,-4.0,-11.0,-10.0
120,10.0,10.0,-31.0,77.0,20.0,9.0,7.0,6.0
121,-11.0,-22.0,-31.0,-76.0,-23.0,-24.0,-14.0,-10.0
122,15.0,44.0,20.0,17.0,6.0,13.0,8.0,7.0
123,14.0,75.0,119.0,8.0,21.0,11.0,1.0,7.0
124,-37.0,-80.0,20.0,-94.0,-51.0,-26.0,-21.0,-23.0
125,9.0,27.0,20.0,39.0,7.0,13.0,4.0,3.0
126,-15.0,-9.0,-127.0,-14.0,-8.0,1.0,-3.0,-1.0
127,-3.0,-34.0,32.0,-64.0,-35.0,-22.0,-6.0,-7.0
128,17.0,10.0,73.0,8.0,11.0,10.0,9.0,7.0
129,-8.0,2.0,-116.0,-11.0,-12.0,-14.0,-8.0,-3.0
130,21.0,9.0,0.0,71.0,35.0,5.0,9.0,12.0
131,-4.0,-20.0,58.0,-33.0,-16.0,4.0,5.0,0.0
132,-2.0,5.0,-38.0,22.0,-2.0,-4.0,5.0,3.0
133,10.0,10.0,3.0,-32.0,9.0,5.0,5.0,8.0
134,5.0,-14.0,-69.0,41.0,9.0,11.0,15.0,3.0
135,7.0,45.0,3.0,67.0,14.0,-26.0,10.0,5.0
136,-7.0,-16.0,13.0,-75.0,-21.0,11.0,5.0,-6.0
137,14.0,23.0,-36.0,33.0,21.0,5.0,6.0,9.0
138,-15.0,-37.0,-50.0,-25.0,-6.0,-3.0,-5.0,-5.0
139,12.0,-21.0,-112.0,18.0,4.0,0.0,5.0,6.0
140,7.0,26.0,71.0,54.0,6.0,5.0,4.0,3.0
141,-20.0,-63.0,55.0,-7.0,-14.0,-28.0,-13.0,-10.0
142,12.0,27.0,71.0,-5.0,-11.0,-12.0,-8.0,0.0
143,-11.0,-5.0,49.0,15.0,-5.0,10.0,-1.0,-7.0
144,4.0,-5.0,44.0,23.0,14.0,12.0,3.0,2.0
145,1.0,-3.0,20.0,-10.0,0.0,5.0,6.0,0.0
146,-3.0,-5.0,48.0,24.0,-10.0,-14.0,-12.0,-6.0
147,-10.0,-17.0,-100.0,-23.0,-7.0,-19.0,-4.0,-6.0
148,8.0,-4.0,-30.0,14.0,8.0,5.0,9.0,7.0
149,-16.0,-1.0,12.0,-30.0,-15.0,-27.0,0.0,-9.0
150,8.0,67.0,47.0,65.0,19.0,14.0,2.0,6.0
